Malét a mbôñe hyémbi.	Màlêt à mɓōŋɛ hyembi.
Linol bot njañgumba: ibale mut a ntip kop njañgumba ndi a beha kon, a tiblaga u mal bé, tole béba jam i kwél nye, ba ñkal le njañgumba nyen a ñkil nye liemb, ni hala a nlama nol bot yéé. Inyuu nol bot, ba bé ba ligis yo, tole ba leñ yo malép.	Linol ɓɔ̀t njaŋgumba: iɓālɛ̄ mùt à ntı̂p kɔ̂p njaŋgumba ndi à ɓɛha kɔ̀n, à tiblaga u mâl ɓe, tɔ̀lɛ ɓeba jàm i kwêl nyɛ, ɓa ŋkàl lɛ njaŋgumba nyɛn à ŋkı̀l nyɛ liemb, nı̀ halā à ǹlama nɔl ɓɔ̀t yeē. Inyùu nɔl bot, ɓa ɓe ɓa ligis yo, tɔ̀lɛ ɓa lɛ̂ŋ yɔ malep.
Linol bot njañgumba: ibale mut a ntip kop njañgumba ndi a beha kon, a tiblaga u mal bé, tole béba jam i kwél nye, ba ñkal le njañgumba nyen a ñkil nye liemb, ni hala a nlama nol bot yéé. Inyuu nol bot, ba bé ba ligis yo, tole ba leñ yo malép.	Linol ɓɔ̀t njaŋgumba: iɓālɛ̄ mùt à ntı̂p kɔ̂p njaŋgumba ndi à ɓɛha kɔ̀n, à tiblaga u mâl ɓe, tɔ̀lɛ ɓeba jàm i kwêl nyɛ, ɓa ŋkàl lɛ njaŋgumba nyɛn à ŋkı̀l nyɛ liemb, nı̀ halā à ǹlama nɔl ɓɔ̀t yeē. Inyùu nɔl bot, ɓa ɓe ɓa ligis yo, tɔ̀lɛ ɓa lɛ̂ŋ yɔ malep.
Sômbôl me bikombot nyoo i Jaman!	Sombol mɛ̀ bikombot nyɔ̀ɔ i Jaman!
Libôm li sôñ.	Libôm li soŋ.
Ke ñgan; me nnok ñgan yoñ.	Kɛ̀ ñgan; mɛ̀ ǹnɔk ŋgân yɔ̂ŋ.
Biine me miñuu me ntiñil minya mi kembe.	Ɓiinɛ mɛ̀ miñuu mɛ̀ ntiñil minya mi kɛmbɛ̂.
Nledek mut u nnééga bé.	Ǹlɛ̀dɛk mùt u nnēegà ɓe.
Man a nnañal a ñke bikwékwéñi.	Mǎn à nnañal à ŋkɛ̀ bikwékwéñi.
Lida yon i yé hégél yoñ môô.	Lidà yɔn i yè hègel yɔŋ moo.
Me nlama badba too me ñgwés ntohol wem.	Mɛ̀ ǹlama badba tɔ̀ɔ mɛ̀ ŋgwēs ǹtɔhɔl wɛ̂m.
Bañ mbok..	Ɓàŋ mbok..
Hay hyem le we.	Hay hyɛ̂m lɛ wɛ̂.
Kôñ maé.	Koŋ mae.
Nhek nsul (u) mbok a yé hee? (Yés 33,18).	Ǹhɛ̀k ǹsùl (u) mbɔk à yè hɛɛ? (Yès 33,18).
Ñgôrô a ñadap i libap li ndap.	Ñgôrô à ŋadap i lı̀ɓap li ndap.
Kañga maka.	Kàŋga maka.
Boñge ba suglu ba njôp bulubulu.	Ɓɔ̀ŋgɛ ɓa sǔglù ɓa njôp bulubulu.
Nunu mañge a ntjôli nyo.	Nunu màŋgɛ à ntjôli nyɔ̀.
Kal nye le me ñke.	Kǎl nyɛ lɛ mɛ̀ ŋkɛ̀.
Njoñ i yé liñgam.	Njɔ̀ŋ i yè lı̀ŋgam.
A nso man liwahga.	À ǹsɔ man liwahga.
A nnyundul ñkuu .	À nnyundul ŋ̀kuu .
Inyuu hônba nan ni gatohol nom nan.	Inyùu honɓà nân nı̀ gatohol nɔ̀m nân.
Mut binam a nlama bé bégés bisat; ñgé a yé ñgim sat.	Mùt bı̀nàm à ǹlama ɓe ɓegês bisat; ŋgê à yè ŋgı̀m sat.
Mudaa a ntjañya ni maéya.	Mùdàa à ncâŋyā nı̀ màèya.
U gake nyoo wetama.	Ù gakɛ̀ nyɔ̀ɔ wetama.
Mbot i bémbi i hyañgaa.	Mbɔt i ɓembi i hyàŋgaa.
Semkôndi i ntôl nyono.	Semkôndi i ntòl nyɔ̀nɔ.
Mbombo i nhumbul mamañ.	Mbombo i nhumbul màmaŋ.
Me nsim ni!	Mɛ̀ nsim nı̄!
Mél yem i brik i mbôô.	Měl yɛ̂m i brik i mɓoô.
Kogot (i) mut.	Kɔgɔt (i) mût.
Lihus li mpam ñkokon nunu i nyo.	Lı̀hus li mpām ŋkɔ̀kɔ̂n nunu i nyɔ̀.
Kilak i sabe.	Kilak i sabe.
Ñgôôba i boma i gwéé ñguy.	Ñgôôba i ɓɔ̀ma i gwèe ŋgùy.
Mañge nunu.	Màŋgɛ nunu.
Kaat maéba.	Kààt maéba.
Émbrassér.	Émbrassér.
Matôl ma ntôl i ñkoñ woñ.	Matôl ma ntòl i ŋkɔ̀ŋ wɔŋ.
Tôñ i yé kôybaga.	Tòŋ i yè kôybaga.
Loñ Égiptô ni loñ Kanaan bi yoga inyuu njal (Bib 47,13).	Lɔ̀ŋ Egiptò nı̀ lɔ̀ŋ Kanaan bi yɔga inyùu njâl (Bı̀ɓ 47,13).
Nunu mut a ñkon njék.	Nunu mùt à ŋkɔ̀n njêk.
Bésna we di ñkwo babas.	Ɓěsnà wɛ dı̀ ŋ̀kwɔ babas.
Bok moo.	Ɓɔk mɔ̀ɔ.
Ba nyek yom ni nnunjok.	Ɓa ǹyɛ̂k yɔ̌m nı̀ nnunjok.
Mut a ñjôha boñge.	Mùt à ñjôha ɓɔŋgɛ.
Neembene me unu nlamb.	Neembene mɛ̀ unu ǹlamb.
Libéndéñ li yom.	Libéndéñ li yɔm.
Mañge a nse libam, makabô, hiomi.	Màŋgɛ à nse lı̀ɓam, màkàbò, hı̀ɔ̀mi.
Jam li masimba.	Jàm li màsı̀mba.
A mpot mayel.	À mpɔ̄t mayel.
Lel Nen a bé mut matibla.	Lɛl Nen à ɓe mùt màtibla.
Windi i ñudu suglu.	Windi i ŋudu sǔglù.
Me binoode mintuk mini, me bolan.	Mɛ̀ binoode mintùk mini, mɛ̀ bolan.
Me nluga kwade ni mpôs.	Mɛ̀ ǹlûgà kwadɛ nı̀ mpôs.
Unu mañ mudaa u mbuula le!	Unu màŋ mùdàa u mbuula lɛ!
Ñgo kenek u nla nye mu njel.	Ŋgɔ kɛ̀nɛ̀k u nlà nyɛ mu njɛ̀l.
Mut tomb nyen a nhoo mis.	Mùt tɔ̀mb nyɛn à nhɔ̄ɔ mı̌s.
Jada; mada.	Jada; mada.
Bôt ba nyeelene bés mahoñol map.	Ɓòt ɓa nyeelene ɓes màhɔŋɔ̂l map.
A nsit me mbom; a nsit me mbôñ.	À nsı̀t mɛ̀ mbom; à nsı̀t mɛ̀ m̂ɓòŋ.
A nleñ likoñ piñ!.	À ǹlɛ̂ŋ lı̀kɔ̀ŋ piñ!.
Hisiñgi hi njéba ki yômi.	Hı̀sı̀ŋgi hi njēba ki yòmi.
Nnyoo i ñkogoo nye.	Nnyoo i ŋ̀kɔgɔ̄ɔ nyɛ.
Me mbaagene i ñgok.	Mɛ̀ m̂ɓaāgɛnɛ i ŋgɔ̀k.
Timbis ñgwende hyoñ i sogoo.	Timbis ñgwende hyɔŋ i sogoo.
Di njél lôñni biibe i su wés.	Dı̀ njél lòŋnı̀ ɓı̀ı̀bɛ̀ i su wes.
Kobol jombe.	Kɔ̀bɔ̀l jɔ̄mbɛ̂.
Mañgudga ma tuye ma ñkônha woñi inyuu bikeñi gwap.	Mañgudga ma tuyɛ̂ ma ŋkònha wɔ̀ŋi inyùu bı̀kɛŋi gwap.
Man lôk Gwade nu, bés nye di nhaa.	Mǎn lòk Gwadɛ nû, ɓes nyɛ dı̀ nhaa.
Kindle i yé hee?.	Kindle i yè hee?.
Lo hudul me ñwaghe unu!	Lɔ̀ hudul mɛ̀ ŋ́wàghɛ unu!
Biaa u kônde bibaa a yé bitan.	Biaa u kônde biɓaà à yè bitân.
U peble bañ bôdaa ba yé i jogop.	Ù peble ɓâŋ ɓòdàa ɓa yè i jɔ̀gɔ̂p.
tôôs ndap bôt	tôôs ndap ɓòt
Kagaa i ñkônha mañge woñi.	Kagaa i ŋkònha màŋgɛ wɔ̀ŋi.
Ñgaa i yé nôlôl i binuga ni bôt.	Ŋgaa i yè nolol i binùga nı̀ ɓôt.
Makol ma môñgô (Markô 4:38).	Makol ma moŋgō (Markò 4:38).
U tuk bañ woo i ndéé ba ñôm we ndondok.	Ù tùk ɓâŋ wɔɔ i ndèè ɓa ŋ̀om wɛ ndɔ̀ndɔ̀k.
Ñwahge u nhuda.	Ñwahge u nhuda.
Hisoson hi nyi oñ ndap.	Hisoson hi ńyı̄ ɔ̄ŋ ndap.
Libéñél li bipôs lini.	Libéñél li bipos lini.
Di mpéñglaha bikééne gwés bi mambot.	Dı̀ mpéñglaha bikèènɛ gwes bi mambɔt.
A nwañ môô lat.	À nwañ moo lat.
Kôp i mpis inyuule ba ñôm yo ñgok i kôô.	Kop i mpis inyùulɛ̄ ɓa ŋ̀om yɔ ŋgɔ̀k i kòò.
Me ñgwel hinyomo i lop.	Mɛ̀ ŋ̀gwɛ̂l hinyomo i lɔ̄p.
Malép may.	Màlep may.
Wen u nnôgôs me lini jam.	Wɛ̌n u nnōgos mɛ̀ lini jàm.
Me nniñ.	Mɛ̀ nniñ.
E i nsayi= tjay tjéé di ñkudi tjodisô??	Ɛ i nsayi= cǎy cee dı̀ ŋkudı̄ tjodisô??
Wañal môô.	Wañal moo.
Malép ma nsayi= malép ma nsôs, ma num kweñ.	Màlep ma nsayi= màlep ma nsôs, ma num kwɛŋ.
U kida bañ nyoo.	Ù kida ɓâŋ nyɔɔ.
Kôlôl mut kék ñño.	Kòlòl mùt kek ŋŋɔ̄.
Hihéga hi éfa hyada ikédé jôm (Man.16,36).	Hihéga hi éfa hyada ikède jǒm (Man.16,36).
Hikii kel me nnogop.	Hikı̀i kɛl mɛ̀ nnogop.
Mudaa a ñke (i) jôñ.	Mùdàa à ŋkɛ̀ (i) jōŋ.
Ba nsébél ki liñgômb le bahba liôk .	Ɓa nsèbel ki liñgômb lɛ ɓāhba liôk .
Ti me hooba yem.	Ti mɛ̀ hɔɔba yɛ̂m.
Nyodna me hégdéhégdé woñ hana! .	Nyɔdnà mɛ̀ hégdéhégdé wɔŋ hana! .
Suluk i nnyañgla homa nyensô.	Sulûk i nnyañgla hɔ̀ma nyɛ̂nsô.
Bôt bana ba bibañna, ba ñkahal kwel ntôñ.	Ɓòt ɓana ɓa bibañna, ɓa ŋ̀kahal kwɛ̀l ntoŋ.
Mañ mut u mbéhél mañge hikéñ.	Maŋ mùt u m̂ɓehēl màŋgɛ hı̀kèŋ.
Nop matanga a nno.	Nɔ̌p matanga à nnɔ̄.
Lona me kurba wem nson.	Lɔ̀na mɛ̀ kurba wɛ̂m ǹsɔn.
Kôô matôwa u yé ñgiiña.	Kòò matowà u yè ñgiiña.
Hibee hi mbudba.	Hı̀ɓɛ̀ɛ hi mɓudɓà.
A ñhangap i pôla yap i sék jomol.	À ñhangap i pōla yap i sék jɔ̀mɔ̂l.
Ndék man ini i nyik bé kindba.	Ndèk man ı̀ni i nyik ɓe kindba.
Man tôle a mbôlôl i hyandi.	Mǎn tolɛ̀ à m̂ɓolol i hyàndi.
A yé hisit mbôñ.	À yè hisit m̂ɓòŋ.
I[204]soñ a ñômle we léda.	I[204]sɔŋ à ŋ̀omlɛ wɛ léda.
Me nhonba bijek.	Mɛ̀ nhonba bijɛk.
Ba nnobol makôô le u u nsude.	Ɓa nnobol màkòò lɛ u u nsudɛ̂.
Man libii; ñgond libii.	Mǎn libii; ŋgɔ̀nd lı̀ɓiı̂.
Me mbômla hibagi hilam.	Mɛ̀ mɓōmla hibagi hı̀lam.
Ñwak Étiôpya u bé kil ñgii bamban.	Ŋwǎk Étiôpya u ɓe kı̀l ŋgı̀i bamban.
A ñkon i hyeñ (hi) walôm.	À ŋkɔ̀n i hyeñ (hi) walōm.
Mut a ñkwes me jam.	Mùt à ñkwes mɛ̀ jàm.
U u nsude.	Ù u nsudɛ̂.
Litap li biték.	Litap li bitèk.
Hyôô hi nyoñ man kôp.	Hyòò hi ńyɔ̀ŋ man kop.
Woo walôm u nsal ñgandak.	Wɔ̀ɔ̀ walôm u ǹsal ŋgandàk.
Nop a nhiñgil muu lom .	Nɔ̌p à nhiñgil mùù lɔ̀m .
Kañ tôñ.	Kaŋ tôŋ.
A lôgtata i gwéha.	À lôgtata i gwéha.
Biloñ bipe bi bé hoñlak le likabô li yé ndigi bijék bi mbene.	Bı̀lɔ̀ŋ bı̀pɛ bi ɓe hɔŋlak lɛ lı̀kàbò li yè ndigi bijék bi mbene.
Masuyne ma mbéñ.	Masuyne ma mbèŋ.
U ñgwés u nnik bôt le!	Ù ŋgwēs u ǹnı̂k ɓòt lɛ!
A nnyuñha me bôô puma, bon bap ba nnyuñha mé.	À nnyuñha mɛ̀ ɓoō puma, ɓɔn ɓap ɓa nnyuñha mê.
Mapubi ma kel; ni bôt ba yé mapubi.	Màpubi ma kɛ̄l; nı̀ ɓòt ɓa yè mapubi.
Ba ñumb ndap ni pem.	Ɓa ŋùmb ndap nı̀ pem.
U mpidbene kii bijek gwem?	Ù mpı̀dɓɛnɛ kı̀i bı̀jɛk gwɛ̂m?
Bômba i malép i tégi me i kédé ndap.	Bômba i màlep i tegi mɛ̀ i kède ndap.
Nyandôm a mba nyik ta a nnol i hyandi.	Nyàndom à m̂ɓà nyik ta à ǹnɔl i hyàndi.
Gwagwa le u somb tjobi ha nyaga béé.	Gwàgwà lɛ u sɔ̄mb cɔbı̄ ha nyàgà ɓee.
A gwéé mbom be.	À gwèe mbɔ̀m ɓɛ̄.
Hinuni hi mbihbe kédi, bihbene yé i bak hyay hi ñkwél i ñgii kédi.	Hı̀nùni hi mɓihbɛ kédi, bihbene yè i ɓak hyày hi ŋkwêl i ŋgı̀i kedı̄.
Hitjo hi mbodbe nye ni dinoo .	Hı̀cɔ hi mbodbe nyɛ nı̀ dinɔ̀ɔ .
Lihéé li ñgôy.	Lihéé li ŋgôy.
Me ntam le me hek gwo (Bib. 6,7).	Mɛ̀ ntām lɛ mɛ̀ hɛ̌k gwɔ (Bib. 6,7).
Nunu mañge a mpôha ñgandak; a yé mut mapôha.	Nunu màŋgɛ à mpōha ŋgàndàk; à yè mùt mapôha.
Titimba i yé bituñgi bituñgi (Yés.14,23).	Titimba i yè bituñgi bituñgi (Yés.14,23).
Pes me nye.	Pɛ̀s mɛ̀ nyɛ.
Sô i yé kwak nuga (kwak? kwak?).	So i yè kwak nugā (kwak? kwak?).
Mandap més ma ntihna.	Màndap mes ma ntihna.
Dioksap di téé lipan jem.	Dioksap dı̀ tee lipàn jɛ̂m.
Linyañ li nlama hoñlana.	Lı̀nyàŋ li ǹlama hoñlana.
Liend ño li yé ñgim bôlô.	Lı̀ɛ̀nd ŋɔ li yè ŋgı̀m ɓòlo.
Bidimô bi nyama = ñkugi (u) je.	Bidimô bi nyama = ŋ̀kugı̀ (u) jɛ.
Ntuba tjémbi.	Ǹtuba tjémbi.
Kida lisoñ.	Kı̀dà lı̀sɔ̀ŋ.
A nyis man i téblé.	À ńyı̄s man i têblè.
Malép ma nhundi isi.	Màlep ma nhundi isı̄.
Kwem i môô.	Kwɛ̀m i moo.
Liha jis li mbas.	Lı̀ha jis li mbâs.
A yé béba mut.	À yè ɓeba mût.
Sehla tjetje.	Sehla tjetje.
Mintonba mi nnôñôl mimpay.	Mı̀ntɔ̀nɓà mi nnòŋol mimpay.
Di mpohlana batelep ba bisu ba likoda li wanda.	Dı̀ mpohlana batelep ɓa bisū ɓa likɔ̀da li wānda.
A ñkôs kondo.	À ŋ̀kôs kondo.
Hale a lo.	Hale à lɔ̂.
Me mbôñha maké.	Mɛ̀ m̂ɓôŋha màkè.
Basaa ba nlôl hee? "Di nlôl likôl".	Ɓàsàa ɓa nlòl hɛɛ? "Dı̀ nlòl likôl".
Basaa ba nlôl hee? "Di nlôl likôl".	Ɓàsàa ɓa nlòl hɛɛ? "Dı̀ nlòl likôl".
Me ñke sapia kakaô.	Mɛ̀ ŋkɛ̀ sapia kakāò.
Dikaha di ñgwéñgi .	Dikaha dı̀ ñgwéñgi .
Kand kuu.	Kànd kùù.
Me ñkôma mambegee mem.	Mɛ̀ ŋkòmà mambɛ̀gɛ̀ɛ̀ mɛ̂m.
Yisoñ me mbép we hanano!	Yisoñ mɛ̀ m̂ɓep wɛ hanano!
Liñgwañ jon li nyédbaha we.	Liñgwañ jɔn li nyédbaha wɛ̂.
Likoglak li ñkôm.	Likoglak li ŋkom.
Nsôsôgô le jiibe li nyemb.	Nsôsôgô lɛ jiibe li nyɛ̀mb.
A mmo nlôm .	À mmo ǹlom .
Buk yoñ i mbabaa me.	Ɓuk yɔŋ i m̂ɓabaa mɛ̂.
Dokta a ñkan ñkokon.	Dɔ̂ktà à ŋ̀kan ŋkɔ̀kɔ̂n.
U kaa bañ ni nyuñ.	Ù kàà ɓâŋ nı̀ nyuñ.
A ntidha me ntuba ñgi minsôa, di ntidha makondo més.	À ntidha mɛ̀ ntuba ŋgı̀ minsôa, dı̀ ntidha makɔ̀ndɔ̀ mes.
Liduba li yé loñge i kédé njaañgô .	Liduba li yè lɔŋgɛ i kède njààŋgò .
Hô bijek gwoñ!	Ho bı̀jɛk gwoñ!
Kes hyôs.	Kɛs hyôs.
Nyodna me wômôl ha!	Nyɔdnà mɛ̀ wômôl hâ!
Ñgombi nyo ni ñgombi moo.	Ñgombi nyɔ̀ nı̀ ñgombi mɔ̀ɔ.
Nlôñga jogop.	Ǹlòŋga jɔ̀gɔ̂p.
Lo yodol man nunu!	Lɔ̀ yodol man nunu!
Hoy i gwéé me.	Hoy i gwèe mɛ̂.
Ñkumuk wéé ñwaa u mpam bé i tan.	Ñkumuk wee ŋwaa u mpām ɓe i tân.
ndi komol i bikomol ñkoñ isi yo ini le, hémle yés. 1yôh 5: 4	ndi komol i bikomol ŋkɔ̀ŋ isı̄ yɔ ı̀ni lɛ, hēmlɛ̀ yes. 1yôh 5: 4
A nsôlha me malét yañga; di nsôlha nye.	À nsôlha mɛ̀ malêt yàŋgà; dı̀ nsôlha nyɛ.
Me nniñne i simet.	Mɛ̀ nniñne i sı̀mɛ̂t.
Bikaat bibaa.	Bı̀kààt biɓaà.
Ki a beñep ha len!	Ki à beñep ha lɛ̀n!
Me bije oñg nyaga.	Mɛ̀ bijɛ̄ oñg nyagà.
Suhul nyuu.	Sùhul nyuu.
Sihe say.	Sihe sày.
Nyaga u nyééne i lép.	Nyàgà u ńyèènɛ i lēp.
Ba nyek wom ni ñkaanjék.	Ɓa ǹyɛ̂k wɔ̀m nı̀ ñkaanjék.
Bini bitôñ bi nti ñgandak njoñ.	Bini bitòŋ bi ǹti ŋgàndàk njoñ.
Hee u mbep yom me gañwas me we.	Hɛɛ u mɓɛ̄p yɔ̌m mɛ̀ gañwas mɛ̀ wɛ̂.
Hindémda hi mut hi!	Hindémda hi mùt hı̂!
Hiliba hi matôa.	Hiliba hi matoà.
Mbôndô i mmal i ñegel me masoñ.	Mbòndo i m̂mâl i ñegel mɛ̀ màsɔ̀ŋ.
Nhuu mut.	Nhuu mût.
Kinje huluk nu! .	Kinjɛ̄ huluk nû! .
Nuu mañge a bitjogop ñgandak.	Nuu màŋgɛ à bitjogop ŋgandàk.
Hikobda hi jam .	Hikobda hi jàm .
Hyéé hi nlék liklik.	Hyèe hi nlēk liklik.
Mañge nuu a mboyop hay a ñkwo kégse.	Màŋgɛ nuu à mboyop hay à ŋ̀kwɔ kêgsɛ̀.
Nuñgne mut mbôñe le a kwoo.	Nuŋgnɛ mùt mɓōŋɛ lɛ à kwoo.
Libum li mmagap.	Lı̀ɓùm li mmagap.
A ñôôp i ndéé a ñke.	À ñôôp i ndèè à ŋkɛ̀.
Hyay (hi) sibe.	Hyǎy (hi) sı̀bɛ̀.
Telep siñ.	Tɛlɛ̂p siñ.
Kigli ñkok tôm i ñkéñ njel.	Kigli ŋkɔ̀k tôm i ŋkēŋ njɛ̀l.
Ñke liemb a nyiba.	Ñke liɛ̀mb à ńyibâ.
A ñôm su (i)si.	À ŋ̀om su (i)si.
Nyañgô a mmal eñg man i pamna nye.	Nyàŋgo à m̂mâl ɛ̂ŋg man i pamnà nyɛ.
Yokel yaga nyen u bike i mok.	Yɔ̀kɛl yaga nyɛn u bikɛ̀ i mɔ̀k.
Me mbude bijek ilole me pamak i ndap.	Mɛ̀ mɓūdɛ bı̀jɛk ı̀lɔ̀lɛ mɛ̀ pamak i ndap.
Bôlô i nséla.	Ɓòlo i nséla.
Mut a mpule bé lilélél.	Mùt à m̂pulɛ ɓe lilélél.
Hulul bijek bi nhôlôl.	Hulul bı̀jɛk bi nholôl.
Kéne ñgén.	Kéne ñgén.
Hee mañge a mbédne lipep?	Hɛɛ màŋgɛ à mbédne lipep?
Ñkép kii njodi.	Ñkép kı̀i njodi.
Heetje ki u ñkwo!	Heetje ki u ñkwo!
A yé boni nye.	À yè boni nyɛ.
Bijek gwoñ bi ñkuhlana bé .	Bı̀jɛk gwɔŋ bi ñkuhlana ɓe .
Boñge ba naña kel yap libii.	Ɓɔ̀ŋgɛ ɓa naña kɛl yap lı̀ɓiı̂.
Lijubul li ndap lini.	Lijubul li ndap lini.
U kôna bañ me.	Ù kôna ɓâŋ mɛ̂.
Jis li kaba.	Jı̀s li kaba.
A nsuene me malét.	À ǹsuɛ̄nɛ mɛ̀ malêt.
Ñguy i yé man nuga.	Ŋgùy i yè man nugā.
Kiñe yés i bi éa i nyemb yéé.	Kiŋɛ yes i bi éa i nyɛ̀mb yeē.
Njôk bo Ntép ba yé mahas ma bôlôm, Kipôdô bo Kitô ba yii mahas ma bôdaa.	Njòk ɓɔ Ntép ɓa yè mahas ma bôlôm, Kipôdô ɓɔ Kitô ɓa yı̀i mahas ma ɓodàa.
A ñgwés minsoga.	À ŋgwēs minsoga.
A njalba ni!	À njalba nı̄!
Mudaa liwél? (MLY) .	Mùdàa liwél? (MLY) .
Bitan u kônde bibaa a yé bisambok.	Bitan u kônde biɓaà à yè bisambok.
Nlôñ bisu ni u mbus liôm Hyém 146 - 150.	Ǹlòŋ bisū nı̀ u mbūs lı̀om Hyèm 146 - 150.
Manyok ma ñgwel bés unu ñwii.	Mànyɔ̀k ma ŋ̀gwɛ̂l ɓes unu ŋwı̀ı̀.
Kwede a nne iloo likabô.	Kwede à nnɛ̀ ı̀lɔ̀ɔ̀ lı̀kàbò.
Kwede a nne iloo likabô.	Kwede à nnɛ̀ ı̀lɔ̀ɔ̀ lı̀kàbò.
U wonsôna me ñke bé hilo.	Ù wonsôna mɛ̀ ŋkɛ̀ ɓe hilɔ̄.
Bahémle Nyambe ba nteembana.	Ɓàhemlɛ̀ Nyambɛ ɓa nteembana.
Me ñégés nye inyuu ñgôk wéé.	Mɛ̀ ñégés nyɛ inyùu ŋgok wee.
Mudaa nunu a nla nson.	Mùdàa nunu à nlà ǹsɔn.
Kel i nhas me.	Kɛl i ǹhas mɛ̂.
Kinje lihyoñ li!	Kinjɛ̄ lihyoñ lı̂!
Ntiñga u mbot pada.	Ntiñga u mbɔt padà.
Kas moni.	Kas mɔ̀ni.
A nhyôhôl miñkôô i kédé tuñ.	À nhyôhôl miŋkòò i kède tùŋ.
Mayé ma kel sonde nyen Ñwet Yésu a tuge i soñ.	Mayé ma kɛl sɔndɛ nyɛn Ŋwɛ̀t Yesù à tuge i sɔ̀ŋ.
Ba nsaa bés nson di biboñ.	Ɓa nsāa ɓes ǹsɔn dı̀ biɓɔ̀ŋ.
Lihyôlôl li mbum bôôlôm bape.	Lihyôlôl li mbum bôôlôm ɓàpɛ.
Ndôndôô i nyégle nye likégéé.	Ndôndôô i nyeglɛ nyɛ likégéé.
Hisañ hi nyam me.	Hisañ hi nyam mɛ̂.
Libôk li nnene njoynjoy i kédé.	Lı̀ɓok li nnɛ̄nɛ njoynjoy i kédé.
A ñke a nhuda.	À ŋkɛ̀ à nhuda.
Nyañgô a nnéyés dibee tjodisô .	Nyàŋgo à nnéyés diɓɛ̀ɛ cɔdisô .
Boñge ba njôhna.	Ɓɔ̀ŋgɛ ɓa njôhna.
A mbat we (hiñgéda).	À mɓàt wɛ (hiñgéda).
Sôñ i ñkige mudaa.	Soŋ i ñkige mùdàa.
U bôñôl bañ yañan tawédé.	Ù ɓoŋōl ɓâŋ yàŋan tawèdè.
Nyoyo a nyén bé i loñ yéé.	Nyoyo à ńyèn ɓe i lɔ̀ŋ yeē.
Kék i ségi i ñgii lién.	Kek i ségi i ŋgı̀i lien.
Ba yé i juhul = ba nnuhul.	Ɓa yè i juhul = ɓa nnūhûl.
Lôla mbôñ.	Lôla m̂ɓòŋ.
Ba mbogde jomb to jade ni miñkôô.	Ɓa mɓɔ̀gdɛ jɔ̀mb tɔ̀ jàdɛ̂ nı̀ miŋkòò.
Hiliga hi mbéna koogana makôô.	Hiliga hi mɓèna koogana makòò.
Nunki kii mut a mbéñ ñwaa wéé i kédé ndobo!.	Nǔnkı̀ kı̀i mùt à mbèŋ ŋwaa wee i kède ndobo!.
U ñke hee?...me ñke i hes bibee.	Ù ŋkɛ̀ hee?...me ŋkɛ̀ i hɛ̀s bı̀ɓɛɛ.
A yé kagdakagda mut.	À yè kagdakagda mût.
Abôm ki..., kiyogle a..: awe ! .	Abôm ki..., kiyogle a..: awe ! .
A mbida bé mahindi.	À mɓı̄da ɓe mahindi.
Hyas hi ñgii; hyas hi si (hi mbugi nye).	Hyas hi ñgii; hyàs hi sı̄ (hi mɓugı̂ nye).
Ni hulha bakwade banan! .	Nı̀ hulha ɓakwadɛ banan! .
Ñgand i ñkahal hot.	Ŋgànd i ŋ̀kahal hɔ̄t.
Mañge a nnyot manyañ bijek i nyo.	Màŋgɛ à nnyot manyâŋ bı̀jɛk i nyɔ̀.
Kel i ñkahal hei.	Kɛl i ŋ̀kahal hei.
